                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    155,                0.44089,                0.24374,                0.84339,                0.99715,                      1,                  0.995,                0.92596,                0.43567,                0.20386,                0.79949,              0.0004951,              0.0004951,              0.0004951
                    156,                0.43556,                0.24707,                0.84414,                0.99727,                      1,                  0.995,                0.92296,                 0.4477,                0.21191,                 0.8055,              0.0004918,              0.0004918,              0.0004918
                    157,                0.43063,                0.24006,                0.83714,                0.99786,                      1,                  0.995,                0.91858,                0.46297,                 0.2193,                0.80468,              0.0004885,              0.0004885,              0.0004885
                    158,                0.42817,                0.24422,                0.84048,                0.99827,                      1,                  0.995,                0.91151,                0.46515,                0.20657,                0.80526,              0.0004852,              0.0004852,              0.0004852
                    159,                0.44565,                0.23938,                0.84475,                0.99815,                      1,                  0.995,                 0.9163,                0.45769,                0.21434,                 0.8048,              0.0004819,              0.0004819,              0.0004819
                    160,                0.43374,                0.24122,                0.83987,                0.99855,                      1,                  0.995,                0.91602,                0.45144,                0.21849,                0.80976,              0.0004786,              0.0004786,              0.0004786
                    161,                0.43832,                0.24215,                0.83965,                0.99822,                      1,                  0.995,                0.90899,                0.48673,                0.20952,                0.80739,              0.0004753,              0.0004753,              0.0004753
                    162,                0.43605,                0.23814,                0.84196,                0.99921,                      1,                  0.995,                0.92105,                0.44434,                 0.2131,                0.80027,               0.000472,               0.000472,               0.000472
                    163,                0.42659,                0.22863,                0.84271,                0.99905,                      1,                  0.995,                 0.9221,                0.43108,                0.20628,                0.79952,              0.0004687,              0.0004687,              0.0004687
                    164,                0.41471,                0.22572,                0.83592,                0.99881,                      1,                  0.995,                0.92042,                0.44501,                0.21006,                0.80074,              0.0004654,              0.0004654,              0.0004654
                    165,                0.41169,                0.23203,                0.83634,                 0.9987,                      1,                  0.995,                0.92475,                0.44386,                0.20161,                0.80148,              0.0004621,              0.0004621,              0.0004621
                    166,                0.42583,                0.23575,                0.83588,                0.99874,                      1,                  0.995,                0.91478,                 0.4484,                0.20287,                0.80142,              0.0004588,              0.0004588,              0.0004588
                    167,                0.42768,                0.23226,                0.83648,                0.99868,                      1,                  0.995,                0.92414,                0.44534,                0.21196,                0.80215,              0.0004555,              0.0004555,              0.0004555
                    168,                0.42118,                0.23286,                0.83986,                0.99808,                      1,                  0.995,                   0.93,                 0.4326,                0.20343,                0.80017,              0.0004522,              0.0004522,              0.0004522
                    169,                0.42809,                0.23198,                0.84715,                0.99868,                      1,                  0.995,                0.92135,                 0.4456,                 0.2007,                0.80214,              0.0004489,              0.0004489,              0.0004489
                    170,                0.41161,                0.22185,                0.84243,                0.99793,                      1,                  0.995,                0.91319,                 0.4917,                 0.2192,                0.81274,              0.0004456,              0.0004456,              0.0004456
                    171,                0.42731,                0.22892,                0.83899,                0.99782,                      1,                  0.995,                 0.9132,                0.46943,                 0.2204,                0.81029,              0.0004423,              0.0004423,              0.0004423
                    172,                0.41114,                0.22578,                0.83893,                0.99811,                      1,                  0.995,                0.92263,                0.45109,                0.20642,                0.80263,               0.000439,               0.000439,               0.000439
                    173,                0.41551,                0.23181,                0.84136,                0.99818,                      1,                  0.995,                 0.9014,                0.47014,                0.21747,                0.81582,              0.0004357,              0.0004357,              0.0004357
                    174,                 0.4104,                0.22656,                0.84209,                0.99843,                      1,                  0.995,                0.91576,                0.44691,                0.19905,                0.80127,              0.0004324,              0.0004324,              0.0004324
                    175,                0.42218,                0.23531,                0.84632,                0.99879,                      1,                  0.995,                0.91442,                0.45923,                0.20488,                0.80415,              0.0004291,              0.0004291,              0.0004291
                    176,                0.41764,                0.23121,                 0.8375,                0.99723,                      1,                  0.995,                0.91807,                0.44065,                0.22379,                0.80445,              0.0004258,              0.0004258,              0.0004258
                    177,                  0.422,                 0.2375,                0.83674,                0.99742,                      1,                  0.995,                0.91164,                0.45187,                0.22286,                0.80893,              0.0004225,              0.0004225,              0.0004225
                    178,                 0.4143,                0.22943,                0.83744,                0.99831,                      1,                  0.995,                0.92137,                0.43082,                0.20052,                0.80067,              0.0004192,              0.0004192,              0.0004192
                    179,                0.41617,                0.23126,                0.83897,                0.99721,                      1,                  0.995,                0.91327,                0.46076,                0.22076,                0.81787,              0.0004159,              0.0004159,              0.0004159
                    180,                0.42062,                0.23446,                0.83886,                0.99768,                      1,                  0.995,                0.91535,                0.45736,                0.22681,                0.81201,              0.0004126,              0.0004126,              0.0004126
                    181,                0.41227,                0.23229,                0.84345,                0.99813,                      1,                  0.995,                0.92123,                0.45796,                 0.2131,                0.80383,              0.0004093,              0.0004093,              0.0004093
                    182,                0.41206,                0.22484,                0.84336,                0.99785,                      1,                  0.995,                0.92163,                0.44776,                0.20844,                0.80343,               0.000406,               0.000406,               0.000406
                    183,                0.41944,                0.22851,                0.83692,                0.99809,                      1,                  0.995,                0.91032,                0.47574,                0.21738,                0.80605,              0.0004027,              0.0004027,              0.0004027
                    184,                0.41382,                0.23294,                0.83718,                0.99864,                      1,                  0.995,                 0.9148,                0.46969,                0.21066,                0.81018,              0.0003994,              0.0003994,              0.0003994
                    185,                0.41278,                0.22816,                0.83903,                 0.9981,                      1,                  0.995,                0.92558,                0.43743,                0.20486,                0.80249,              0.0003961,              0.0003961,              0.0003961
                    186,                0.42006,                 0.2279,                0.83831,                0.99837,                      1,                  0.995,                 0.9193,                0.45393,                0.20584,                0.80421,              0.0003928,              0.0003928,              0.0003928
                    187,                0.41243,                0.22915,                0.83764,                0.99755,                      1,                  0.995,                0.91784,                0.44441,                0.20559,                0.80299,              0.0003895,              0.0003895,              0.0003895
                    188,                0.41384,                0.22722,                0.83656,                0.99818,                      1,                  0.995,                0.91441,                0.45976,                 0.2134,                0.80669,              0.0003862,              0.0003862,              0.0003862
                    189,                0.40336,                0.23026,                0.83692,                0.99839,                      1,                  0.995,                0.92392,                0.44342,                0.20909,                0.80057,              0.0003829,              0.0003829,              0.0003829
                    190,                0.41022,                0.22876,                0.83192,                0.99859,                      1,                  0.995,                0.91879,                 0.4498,                0.20563,                0.80176,              0.0003796,              0.0003796,              0.0003796
                    191,                0.40833,                0.22755,                0.83575,                0.99863,                      1,                  0.995,                0.91623,                0.45893,                0.20745,                0.80688,              0.0003763,              0.0003763,              0.0003763
                    192,                0.41345,                0.23096,                0.83559,                0.99831,                      1,                  0.995,                0.91625,                 0.4555,                 0.2152,                0.80518,               0.000373,               0.000373,               0.000373
                    193,                0.41836,                 0.2318,                0.84052,                0.99949,                      1,                  0.995,                 0.9271,                0.44889,                0.21342,                 0.8006,              0.0003697,              0.0003697,              0.0003697
                    194,                0.39948,                0.22424,                0.82901,                0.99962,                      1,                  0.995,                0.91908,                0.44412,                0.20969,                0.79962,              0.0003664,              0.0003664,              0.0003664
