                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.60219,                 0.3515,                0.88785,                0.99705,                      1,                  0.995,                0.89847,                  0.491,                0.27905,                0.85732,              0.0008878,              0.0008878,              0.0008878
                     37,                0.54442,                0.32465,                0.87981,                0.99568,                      1,                  0.995,                0.89547,                0.50273,                0.26688,                0.86697,              0.0008845,              0.0008845,              0.0008845
                     38,                0.56334,                0.33436,                 0.8875,                0.99484,                      1,                  0.995,                0.89418,                0.51522,                0.29288,                0.87418,              0.0008812,              0.0008812,              0.0008812
                     39,                0.55458,                0.33095,                0.88683,                0.99711,                      1,                  0.995,                0.89912,                0.48421,                0.26731,                0.85107,              0.0008779,              0.0008779,              0.0008779
                     40,                0.55345,                0.32451,                 0.8849,                 0.9972,                      1,                  0.995,                0.89458,                0.48274,                0.27471,                 0.8558,              0.0008746,              0.0008746,              0.0008746
                     41,                0.55345,                0.33064,                0.87342,                0.99588,                      1,                  0.995,                0.88558,                0.56433,                0.29484,                0.85125,              0.0008713,              0.0008713,              0.0008713
                     42,                0.54036,                 0.3254,                0.87268,                0.99368,                      1,                  0.995,                0.86417,                0.63401,                0.30458,                0.87764,               0.000868,               0.000868,               0.000868
                     43,                0.54869,                0.32878,                0.88124,                0.99557,                      1,                  0.995,                0.86897,                0.58246,                0.31011,                0.85839,              0.0008647,              0.0008647,              0.0008647
                     44,                0.55887,                0.32743,                0.88848,                0.99718,                      1,                  0.995,                0.87093,                0.60161,                0.29018,                0.85591,              0.0008614,              0.0008614,              0.0008614
                     45,                0.56378,                0.33349,                0.87718,                 0.9971,                      1,                  0.995,                 0.8653,                0.58058,                0.27796,                0.85478,              0.0008581,              0.0008581,              0.0008581
                     46,                0.58181,                0.34099,                0.87901,                0.99732,                      1,                  0.995,                0.89013,                0.50796,                0.27839,                0.87814,              0.0008548,              0.0008548,              0.0008548
                     47,                0.57756,                0.34314,                0.88471,                0.99714,                      1,                  0.995,                0.88816,                0.51087,                0.27952,                0.83543,              0.0008515,              0.0008515,              0.0008515
                     48,                0.54423,                0.31864,                0.87432,                0.99511,                      1,                  0.995,                0.89555,                0.48945,                0.29517,                0.82932,              0.0008482,              0.0008482,              0.0008482
                     49,                0.52343,                0.30399,                0.87131,                0.99681,                      1,                  0.995,                0.90396,                 0.4843,                0.26917,                0.83099,              0.0008449,              0.0008449,              0.0008449
                     50,                0.53245,                0.32034,                0.87541,                0.99601,                      1,                  0.995,                0.89867,                0.48972,                0.27529,                0.83121,              0.0008416,              0.0008416,              0.0008416
                     51,                0.54165,                0.32532,                0.87377,                 0.9925,                      1,                  0.995,                0.88753,                0.51223,                0.28367,                0.84157,              0.0008383,              0.0008383,              0.0008383
                     52,                0.53943,                0.31766,                0.86454,                0.99529,                      1,                  0.995,                0.90646,                0.48273,                 0.2629,                0.83586,               0.000835,               0.000835,               0.000835
                     53,                0.52345,                0.30753,                0.86541,                0.99532,                      1,                  0.995,                0.89331,                0.51628,                0.32907,                 0.8385,              0.0008317,              0.0008317,              0.0008317
                     54,                0.53087,                0.31156,                 0.8703,                0.99691,                      1,                  0.995,                0.88009,                0.54008,                0.33171,                0.83855,              0.0008284,              0.0008284,              0.0008284
                     55,                0.53431,                0.31049,                0.87285,                0.99618,                      1,                  0.995,                0.88127,                0.53759,                0.26664,                0.83122,              0.0008251,              0.0008251,              0.0008251
                     56,                0.55713,                0.31843,                0.86748,                0.99603,                      1,                  0.995,                0.90239,                0.49375,                0.27254,                0.84295,              0.0008218,              0.0008218,              0.0008218
                     57,                0.59715,                0.32529,                0.87939,                0.99659,                      1,                  0.995,                 0.8896,                0.52338,                0.28243,                0.84354,              0.0008185,              0.0008185,              0.0008185
                     58,                0.57558,                0.33188,                0.87787,                0.99575,                      1,                  0.995,                 0.8726,                0.57095,                0.29073,                0.86125,              0.0008152,              0.0008152,              0.0008152
                     59,                0.59504,                0.32865,                0.87931,                0.99556,                      1,                  0.995,                0.88737,                0.50901,                0.26963,                0.86265,              0.0008119,              0.0008119,              0.0008119
                     60,                0.56533,                0.32531,                 0.8778,                0.99623,                      1,                  0.995,                0.90551,                0.48026,                0.26902,                0.84518,              0.0008086,              0.0008086,              0.0008086
                     61,                0.52864,                0.30494,                0.87451,                 0.9978,                      1,                  0.995,                0.90542,                0.51886,                0.26691,                0.83701,              0.0008053,              0.0008053,              0.0008053
                     62,                0.51094,                0.30524,                0.86395,                0.99724,                      1,                  0.995,                0.89993,                0.48238,                0.24425,                0.83798,               0.000802,               0.000802,               0.000802
                     63,                0.51009,                0.29983,                0.86934,                0.99713,                      1,                  0.995,                0.90197,                0.48954,                0.24859,                0.83551,              0.0007987,              0.0007987,              0.0007987
                     64,                0.49975,                0.29173,                0.85732,                0.99733,                      1,                  0.995,                0.89217,                0.53123,                0.27381,                0.83022,              0.0007954,              0.0007954,              0.0007954
                     65,                0.52241,                0.30022,                0.86701,                0.99636,                      1,                  0.995,                0.91471,                0.46129,                0.25348,                0.82381,              0.0007921,              0.0007921,              0.0007921
                     66,                0.51769,                0.30513,                0.86837,                 0.9937,                      1,                  0.995,                0.91282,                 0.4615,                0.26566,                0.82433,              0.0007888,              0.0007888,              0.0007888
                     67,                0.49938,                0.28957,                0.86033,                0.99358,                      1,                  0.995,                0.90779,                0.48718,                0.25328,                0.83417,              0.0007855,              0.0007855,              0.0007855
                     68,                0.50326,                0.28741,                 0.8582,                0.99662,                      1,                  0.995,                0.89989,                0.51248,                0.27381,                0.84433,              0.0007822,              0.0007822,              0.0007822
                     69,                0.50815,                 0.2916,                0.86501,                0.99711,                      1,                  0.995,                0.90327,                0.48743,                0.25873,                0.83079,              0.0007789,              0.0007789,              0.0007789
                     70,                0.52779,                 0.3013,                0.86837,                0.99669,                      1,                  0.995,                0.88599,                0.53033,                 0.2837,                0.84729,              0.0007756,              0.0007756,              0.0007756
                     71,                0.50355,                0.29737,                0.86913,                0.99689,                      1,                  0.995,                0.88427,                0.53131,                0.26874,                0.83596,              0.0007723,              0.0007723,              0.0007723
                     72,                0.52685,                0.30182,                0.86539,                0.99631,                      1,                  0.995,                0.86901,                0.57543,                0.28421,                0.84885,               0.000769,               0.000769,               0.000769
                     73,                0.56684,                0.32396,                0.86932,                0.99549,                      1,                  0.995,                0.87703,                0.53535,                0.31514,                0.84407,              0.0007657,              0.0007657,              0.0007657
                     74,                0.53141,                0.31501,                0.86285,                0.99516,                      1,                  0.995,                0.90938,                0.45489,                0.26908,                  0.817,              0.0007624,              0.0007624,              0.0007624
                     75,                0.51041,                0.29287,                0.86607,                0.99598,                      1,                  0.995,                 0.8998,                0.47347,                0.25648,                0.82994,              0.0007591,              0.0007591,              0.0007591
                     76,                0.51386,                0.30316,                0.85196,                0.99724,                      1,                  0.995,                0.91263,                0.46304,                0.23024,                0.81605,              0.0007558,              0.0007558,              0.0007558
                     77,                0.49913,                0.28262,                0.86006,                0.99099,                      1,                  0.995,                 0.8991,                0.50018,                0.25123,                0.82576,              0.0007525,              0.0007525,              0.0007525
                     78,                 0.5043,                0.28458,                0.86086,                0.99748,                      1,                  0.995,                0.90702,                0.48032,                0.24239,                0.82545,              0.0007492,              0.0007492,              0.0007492
